Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kilojoule (kJ);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Kohlenhydrate, verfügbar (g);Zucker (g);Nahrungsfasern (g);Protein (g);Wasser (g)
Kebab im Fladenbrot;;Gerichte/Sandwiches;pro 100g essbarer Anteil;517;3.6;0.8;1.2;1.3;14.5;2.2;1.2;7.6;73.3
Kefe, gedämpft (ohne Zugabe von Salz);"Kiefelerbse;Zuckerschote";Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;308;0.2;0;0;0.1;10.8;5.4;5.3;4.3;79.3
Kefe, roh;"Kiefelerbse;Zuckerschote";Gemüse/Gemüse frisch;pro 100g essbarer Anteil;285;0.2;0;0;0.1;10;5;5;4;79.6
Ketchup;;Verschiedenes/Saucen;pro 100g essbarer Anteil;498;0.4;0.1;0.1;0.2;26;24.8;0.9;2;66.7
Kichererbse, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;532;2;0.3;0.5;1.1;16.8;0.9;6.2;7.3;67.7
Kichererbse, getrocknet;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;1370;4.9;0.6;1.4;2.7;44.3;2.4;15.5;18.6;13
Kirsch;"Kirschbranntwein;Kirschwasser;Kirschschnaps;Kirschenbrand";Alkoholhaltige Getränke/Spirituosen;pro 100 ml;964;0;0;0;0;0;0;0;0;61.7
Kirsche, gedünstet, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;247;0.5;0.1;0.1;0.1;12;9.2;1.5;0.9;85.2
Kirsche, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;262;0.4;0.1;0.1;0.1;13;10;1.6;0.8;85.7
Kirschenkuchen, hausgemacht, gebacken (mit Blätterteig);Kirschenwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;633;6.9;3;2.7;0.8;18.8;8.4;1.4;2.8;70.2
Kirschenkuchen, hausgemacht, gebacken (mit Kuchenteig);Kirschenwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;643;6.7;3;2.5;0.8;19.5;8.4;1.5;3;69.5
Kiwi, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;243;0.6;0.1;0.2;0.3;11;8.9;2.4;0.9;83.5
Knäckebrot, Vollkorn;;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;pro 100g essbarer Anteil;1400;1.7;0.3;0.2;1.1;61.1;3.3;12.4;12;13.7
Knäckebrot, Vollkorn mit Leinsamen;;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;pro 100g essbarer Anteil;1480;5.7;0.7;1;3.7;55.2;3.1;13.8;12.9;13.4
Knäckebrot, Vollkorn mit Sesam;;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;pro 100g essbarer Anteil;1520;6.9;1;2.1;3.1;55.3;3.1;12.4;13.1;13.4
Knoblauch, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;578;0.5;0.1;;0.3;24.5;2.4;3;7;63.7
Knollensellerie, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;134;0.3;0.1;0;0.2;4;1.6;3.8;1.4;90.4
Knollensellerie, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;133;0.3;0.1;0;0.2;4;1.6;3.8;1.4;88.8
Knöpflimehl;Spätzlimehl;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1490;1.3;0.2;0.1;0.5;71.3;0.9;3.3;11.9;13.2
Knuspermüeslimischung,  mit Früchten, gezuckert;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;1780;15;3.5;4.1;6.5;59.8;18.8;7.6;8.7;9.4
Knuspermüeslimischung, angereichert mit Vitaminen und Mineralien;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;1770;11.9;2.9;3.8;4.5;63.4;17;9.1;10.3;9.1
Knuspermüeslimischung, gezuckert (Durchschnitt) ;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;1810;15.9;3.9;4.9;6.2;58.6;18.1;7.7;9.4;9.1
Knuspermüeslimischung, mit Nüssen and Samen, gezuckert;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;1810;16.1;3.2;5.8;6;56.1;15.1;8.2;11.3;9.2
Knuspermüeslimischung, mit Schokolade;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;1850;17.4;5.2;5.4;5.8;58.8;19.8;7.2;9;8.3
Kochbutter;;"Fette und Öle/Fette;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;3060;82.2;49.3;19.3;3.8;0.7;0.6;0;0.5;16.6
Kochpökelware (Durchschnitt);;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;926;15.6;6;7.2;1.1;0.7;0.7;0;19.8;63.9
Kochsalz mit Jod;;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;0;0;0;0;0;0;0;0;0;0.1
Kochsalz mit Jod und Fluor;Speisesalz;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;0;0;0;0;0;0;0;0;0;0.1
Kochsalz ohne Jod und Fluor;Speisesalz;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;0;0;0;0;0;0;0;0;0;0.1
Kochspeck;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1330;27.6;10.6;12.9;2.2;0.6;0.6;0;17.8;50.5
Kochwürste (Durchschnitt);;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;1150;23.5;8.6;10.7;2.8;1.1;1;0.1;15.4;59.8
Kohlgemüse (Durchschnitt), gekocht (ohne Zugabe von Salz und Fett);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;122;0.4;0.1;0.1;0.2;3.1;2.6;2.4;2.2;92
Kohlgemüse (Durchschnitt), roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;127;0.4;0.1;0.1;0.2;3.2;2.8;2.5;2.3;91.6
Kohlrabi, gedämpft (ohne Zugabe von Salz);Rübkohl;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;119;0.2;0;0;0.1;3.9;3.8;1.5;2;92.4
Kohlrabi, roh;Rübkohl;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;113;0.2;0;0;0.1;3.7;3.6;1.4;1.9;89.3
Kokosfett;;Fette und Öle/Fette;pro 100g essbarer Anteil;3680;99;83.7;5.2;1.3;0;0;0;0.8;0.1
Kokosmakronen;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;2280;38.9;33.8;1.5;0.2;35.1;35.1;15.7;6.9;4.1
Kokosnuss;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;1580;36.5;32.1;2.2;0.7;4.8;4.8;9;4.6;43.9
Kokosnuss, getrocknet (Kokosrapseln, Kokosflocken);;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;2690;61.3;53.3;2.4;0.4;5.3;5.3;24.7;7.6;3.3
Kokosnussgetränk, nature;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;92;1;0.8;0;0;2.8;1.9;0.1;0.4;95.7
Kokosnussgetränk, nature, mit Calcium und Vitaminen angereichert;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;92;1;0.8;0;0;2.8;1.9;0.1;0.4;95.7
Kokosnussmilch;Kokosmilch;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;884;21.3;18.9;0.9;0.2;3.1;1.7;0.1;2.4;72.9
Kondensmilch, gezuckert;;Milch und Milchprodukte/Milch;pro 100g essbarer Anteil;1430;10;6;2.4;0.5;54.3;54.3;0;8;25.6
Kondensmilch, ungezuckert;;Milch und Milchprodukte/Milch;pro 100g essbarer Anteil;547;7.6;4.6;1.8;0.4;9.3;9.3;0;6.4;74.8
Konfitüre;Marmelade;Süssigkeiten/Konfitüren und süsse Brotaufstriche;pro 100g essbarer Anteil;1040;0.5;;;;58.7;58.7;2.2;0.5;36
Konfitüre, energievermindert, mit Süssstoffen;Marmelade;Süssigkeiten/Konfitüren und süsse Brotaufstriche;pro 100g essbarer Anteil;576;0.5;;;;31.9;31.9;0.8;0.5;65.3
Kopfsalat, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;60;0.2;0;0;0.1;1.1;1;1.6;1.3;95
Kotelett (Durchschnitt aus Kalb, Schwein, Lamm), gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien;pro 100g essbarer Anteil;932;12;4.6;5.3;1.2;0;0;0;28.8;59.3
Kotelett (Durchschnitt aus Kalb, Schwein, Lamm), roh;;"Fleisch und Innereien/Schwein;Fleisch und Innereien/Kalb;Fleisch und Innereien/Lamm, Schaf";pro 100g essbarer Anteil;740;10.2;3.9;4.5;1;0;0;0;21.3;68.5
Krustentiere (Durchschnitt), roh;;Fisch/Meeresfrüchte, Krusten- und Schalentiere;pro 100g essbarer Anteil;316;1;0.1;0.2;0.3;1;0;0;15.5;82.6
Kuchenteig (mit Butter), ungebacken;Wähenteig;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;1570;21.2;12.4;4.9;1.3;38.5;0.3;1.8;6.7;32.5
Kuchenteig (mit pflanzlichem Fett), ungebacken;Wähenteig;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;1640;23.5;10.8;9.3;2.5;38.1;0.2;1.8;6.6;30.6
Kuchenteig, Vollkorn (mit Butter), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;1550;21.5;12.4;4.9;1.8;33.8;0.7;6.1;7.6;31.5
Kuchenteig, Vollkorn (mit pflanzichem Fett), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;1500;20.2;6.1;9.4;4.3;33.7;0.6;6.1;7.6;32.9
Kürbis-Piccata, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;585;8.5;2.3;4.3;0.9;9.4;3.7;2.2;5.5;74.9
Kürbis, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;123;0.1;0;0;0;4.7;4;2.2;1.1;92.3
Kürbis, roh;Riesenkürbis;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;119;0.1;0;0;0;4.6;3.9;2.2;1.1;90.4
Kürbiskerne;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;2550;49.1;8.7;16.2;21;4.7;1.4;6;35.6;5.2
Kürbiskernöl;;Fette und Öle/Öle;pro 100 ml;3330;90;14.8;25.6;44.5;0;0;0;0;0
Kürbisscheiben, paniert, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;602;5.8;0.7;3.6;0.8;16.7;4.1;2.7;4.7;70.7
Lachs, geräuchert;;Fisch/Meeresfische;pro 100g essbarer Anteil;698;8.2;1.8;2.7;2.7;0;0;0;23.2;62.5
Lachs, Wildfang, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;760;11.5;1.8;4.4;1.9;0;0;0;19.7;65
Lachs, Zucht, Filet, gedämpft (ohne Zusatz von Fett und Salz);;Fisch/Meeresfische;pro 100g essbarer Anteil;751;11.7;1.9;4.3;2.2;0;0;0;18.7;69.6
Lachs, Zucht, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;834;13.4;2.2;4.9;2.5;0;0;0;19.9;67
"Lamm, Filet, ""medium"" gebraten (ohne Zusatz von Fett und Salz)";;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;573;3.6;1.4;1.6;0.2;0;0;0;25.8;70.5
Lamm, Filet, roh;;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;473;3.4;1.3;1.5;0.2;0;0;0;20.4;75.1
Lamm, Gigot, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;849;9.8;5.2;4.5;1.1;0;0;0;28.6;61.6
Lamm, Gigot, roh (Schweiz, Neuseeland);Keule;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;647;8.2;4.4;3.7;0.9;0;0;0;20.2;69.1
Lamm, Kotelett, roh (Schweiz);;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;747;10.9;5.2;4;0.9;0;0;0;20.2;65.4
Lamm, Nierstück, roh (Australien, Neuseeland);;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;493;3.3;1.9;1.9;0.4;0;0;0;21.8;73
Lamm, Racks, roh (Australien, Neuseeland);;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;652;8.3;4.3;3.5;0.9;0;0;0;20.3;67.6
Lamm, Voressen, roh (Schweiz);Ragout;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;644;8.4;4.3;3.7;1;0;0;0;19.6;69.9
Lamm/Schaf (Durchschnitt exkl. Innereien, Kotelett), roh;;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;564;5.8;3;2.7;0.6;0;0;0;20.5;73.7
Lammragout mit Sauce, zubereitet;Voressen;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;470;6.1;2.2;3.3;0.8;3;1.2;0.6;11.1;79.2
Landjäger;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;2030;42.7;16.9;19.1;3.5;;;0;26.6;26.6
Latte macchiato, ungezuckert;;"Milch und Milchprodukte/Milch- und Joghurtgetränke;Alkoholfreie Getränke/Kaffee";pro 100 ml;198;2.8;1.7;0.7;0.1;3.2;3.2;0;2.2;91.6
Lattich, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;66;0.3;0;0;0.2;1.3;1.3;1.5;1.2;94.5
Lauch, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;129;0.3;0;0;0.2;3.9;3.7;3;1.7;91.2
Lauch, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;124;0.3;;;0.2;3.7;3.5;2.8;1.6;89.8
Laugenbrötli (mit jodiertem Kochsalz);Silserli;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1190;4.9;0.9;1.9;1.8;48.9;2.2;2.3;9.3;35.3
Laugengebäck trocken (Bretzel, Sticks);;Salzige Snacks/Salzsticks und Bretzel;pro 100g essbarer Anteil;1530;4.1;1;1.6;1.2;72.1;0.4;0.7;8.6;14.5
Laugengipfeli (mit jodiertem Kochsalz);Silsergipfeli;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1770;25;14.7;5.8;1.5;39.4;1.3;1.9;9.1;25.1
Leber (Durchschnitt aus Rind, Kalb, Schwein), gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien;pro 100g essbarer Anteil;660;5;1.7;0.8;1.3;4.4;0;0;23.5;67.1
Leber (Durchschnitt aus Rind, Kalb, Schwein), roh;;"Fleisch und Innereien/Geflügel;Fleisch und Innereien/Kalb;Fleisch und Innereien/Rind;Fleisch und Innereien/Schwein";pro 100g essbarer Anteil;566;4.3;1.5;0.7;1.1;3.6;0;0;20.3;71.8
Leberwurst;;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;1050;19.1;7.2;8.7;2.2;0.5;0.3;0.2;19.8;60.5
Lebkuchen;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;1700;13.8;1.4;7.9;3.6;61.6;41.2;4.2;6.5;12.1
Lebkuchen mit Schokoladeüberzug;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;1860;18.9;6.8;8.7;2.9;60.2;45.4;3.5;6.5;10.9
Leinöl, kaltgepresst;;Fette und Öle/Öle;pro 100 ml;3330;90;8.6;17.1;60.3;0;0;0;0;0
Leinsamen;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;2200;42.2;4.6;8.3;27.2;3.6;1.4;26.9;21.3;5.8
Lemon Curd;Zitronencrème;Süssigkeiten/Cremen und Pudding;pro 100g essbarer Anteil;1330;16;8;4.4;1.3;36.8;36.7;0.1;6.4;40.8
Limburger (Münster);;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1140;21.4;12.8;5;0.9;0;0;0;20;55.9
Limonade, mit Aroma, gezuckert;;Alkoholfreie Getränke/Süssgetränke;pro 100 ml;162;0;0;0;0;9.5;9.5;0;0;90
Linse, ganz, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;484;0.5;0.1;0.1;0.2;15.6;0.4;6.2;8.8;68.9
Linse, ganz, getrocknet;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;1370;1.5;0.2;0.3;0.6;44.8;1.1;17;24.4;9.7
Linse, geschält, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;568;0.6;0.1;0.1;0.2;19;0.9;4.3;11;65
Linse, geschält, getrocknet;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;1410;1.5;0.3;0.3;0.5;48;2.2;10.4;27;10.9
Linzertorte;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;1770;23.6;9.2;10.4;2.5;43.7;25.9;3.7;7.5;20.3
Löffelbiscuit;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;1740;8.3;2.4;3.2;1.2;71.8;34.9;1.4;12.2;5
Luganighe;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1240;22.9;8.5;10.8;2.1;0.5;0.5;0;22.1;54.3
Lyoner;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;1010;21.8;8.2;10.2;1.6;0.5;0.5;0;11.5;62.9
Madeleine (mit Butter);;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;1920;24.8;13.9;6.2;1.7;51.3;27.8;1.1;7.3;15.8
Madeleine (mit Pflanzenöl);;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;1820;20;2.5;7.8;8.3;55.1;27.8;1.2;7.9;16.2
Magermilch, UHT;;Milch und Milchprodukte/Milch;pro 100 ml;139;0.1;0.1;0;0;4.7;4.7;0;3.3;90.8
Magermilchpulver;;Milch und Milchprodukte/Milch;pro 100g essbarer Anteil;1480;1;0.6;0.2;0;50.5;50.5;0;34.3;3.5
Mailänderli;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;1800;20.8;11.6;5.1;1.5;53.2;22.5;1.4;7.1;18
Mais-Chips (Apérogebäck);;Salzige Snacks/Chips;pro 100g essbarer Anteil;2130;27.2;6.6;11.4;8.1;56;2.4;4.4;7.8;2
Mais, gedämpft (ohne Zugabe von Salz);"Zuckermais;Gemüsemais";Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;421;1.3;0.2;0.3;0.5;16.9;3.7;3;3.5;75.2
Mais, roh;"Zuckermais;Gemüsemais";Gemüse/Gemüse frisch;pro 100g essbarer Anteil;391;1.2;0.2;0.3;0.5;15.7;3.4;2.8;3.3;74.7
Maisgriess, gekocht;Polenta;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mais;pro 100g essbarer Anteil;336;0.2;0;0.1;0.1;16.7;0.3;1.1;2;80
Maisgriess, trocken;Polenta;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mais;pro 100g essbarer Anteil;1480;1.1;0.1;0.4;0.4;73.8;1.5;5;8.8;11
Maiskeimöl;;Fette und Öle/Öle;pro 100 ml;3330;90;11;24.8;50.7;0;0;0;0;0
Maiskölbchen, in Essig eingelegt;;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;500;1.4;0.2;0.4;0.6;21;2;4.2;3.4;69.3
Maisstärke;;"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;Verschiedenes/Gelier- und Bindemittel";pro 100g essbarer Anteil;1510;;;;;88;;0.6;0.3;11
Malzgetränk mit Kakao, mit Vitaminen und Mineralien angereichert, Pulver;;Alkoholfreie Getränke/Malzextrakthaltige Getränke;pro 100g essbarer Anteil;1620;3.6;2.4;1.1;0.1;76.2;52.1;4.4;8.9;5.2
Malzgetränk mit Kakao, mit Vitaminen und Mineralien angereichert, zubereitet (mit Milch);;"Alkoholfreie Getränke/Malzextrakthaltige Getränke;Milch und Milchprodukte/Milch- und Joghurtgetränke";pro 100g essbarer Anteil;341;3;1.8;0.7;0.1;9.8;8.1;0.3;3.6;83.1
Mandarine, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;200;0.2;;;;9.2;8.6;1.7;0.8;87
Mandel;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;2580;52.1;4.1;31.4;11.4;7.8;6.6;10.6;25.6;3.3
Mandel, geröstet, gesalzen;;Salzige Snacks/Gesalzene Nüsse, Samen, Kerne;pro 100g essbarer Anteil;2680;55.2;4.2;34.8;13.5;7.2;4.6;10.5;25.6;2.8
Mandel, ohne Fett geröstet, gesalzen;;Salzige Snacks/Gesalzene Nüsse, Samen, Kerne;pro 100g essbarer Anteil;2630;52.5;4.1;33.1;13;10.1;4.9;10.9;25.4;2.4
Mandelgetränk, nature;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;139;2.6;0.2;1.6;0.5;1.3;1.3;0.3;1.1;94.5
Mandelgetränk, nature, mit Calcium und Vitaminen angereichert;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;139;2.6;0.2;1.6;0.5;1.3;1.3;0.3;1.1;94.5
Mango, getrocknet;;Früchte/Früchte getrocknet;pro 100g essbarer Anteil;1240;2.2;0.5;0.9;0.4;61.1;59.9;8.4;2.9;20
Mango, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;289;0.6;0.1;0.2;0.1;14.3;12.9;1.6;0.6;81.1
Mangold, gedämpft (ohne Zugabe von Salz);Krautstiel;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;121;0.3;0;0;0;3.4;0.6;1.2;2.6;92.5
Mangold, roh;Krautstiel;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;97;0.2;;;;2.7;0.5;1;2.1;92.4
Maniok, Wurzelknolle, gekocht (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;554;0.2;0.1;0.1;0;29.8;0.4;2.8;1;62.8
Maniok, Wurzelknolle, roh;"Cassava;Kassave;Yuca";Gemüse/Gemüse frisch;pro 100g essbarer Anteil;594;0.2;0.1;0.1;0;32.1;0.5;2.9;1;62.8
Margarine, 35 - 40 % Fett;;"Fette und Öle/Fette;Fette und Öle/Fette";pro 100g essbarer Anteil;1470;39;11;18;10;1.1;0.4;0;0.3;59.6
Margarine, ohne Butter, 70 - 80 % Fett;;Fette und Öle/Fette;pro 100g essbarer Anteil;2860;77;23.8;37.3;14;0.2;0.1;0;0.5;20
Marmorkuchen;Marmorcake;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;1490;17.1;9.5;4.3;1.2;42.6;19.7;1.3;7.4;32
Marzipan;;Süssigkeiten/Sonstige Süssigkeiten;pro 100g essbarer Anteil;1990;17.6;1.5;12;3.3;68.6;68.6;4.9;8;1.9
Mascarpone;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;1790;44.5;29.5;11.7;1.9;4.1;4.1;0;4.5;46.2
Mayonnaise;;Fette und Öle/Mayonnaisen;pro 100g essbarer Anteil;3050;81.7;12.1;23.3;42.5;0.5;0.5;0;1.1;14.7
Mayonnaise, kalorienvermindert;;Fette und Öle/Mayonnaisen;pro 100g essbarer Anteil;1350;34.5;4.6;6.7;19.6;3.3;;0;0.9;59.4
Mayonnaise, mit Rapsöl, hausgemacht;;Fette und Öle/Mayonnaisen;pro 100g essbarer Anteil;3260;86.9;7;51.3;24;0.1;0.1;0;2.4;10.6
Mehl (Durchschnitt);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1450;1.4;0.3;0.2;0.8;67.8;0.4;4.7;12.4;14.8
Mehl, hell (Durchschnitt);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1460;1.3;0.3;0.2;0.7;68.9;0.4;3.8;12.2;14.9
Mehlomeletten mit Champignonfüllung, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;522;6.2;3.1;1.6;0.6;10.8;1.2;1.5;5.7;76.5
Mehlomeletten mit Gemüsefüllung, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;574;5.1;1.8;1.9;0.7;16.3;2.6;1.4;5.8;71.6
Mehlomeletten mit Käse, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;814;8.9;4.4;2.4;0.9;18.2;1.3;0.8;10;62.3
Mehlomeletten mit Nutella, zubereitet;;Gerichte/Sonstige süsse Gerichte;pro 100g essbarer Anteil;1080;12.3;4.9;5;1.5;29.1;14.4;1.4;7.2;50.3
Mehlomeletten mit Schinken, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;653;5.1;2.1;1.6;0.7;17.3;1.3;0.8;9.7;67.4
Mehlomeletten mit Speck, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;787;8.9;3.5;3.4;1;17.3;1.3;0.8;9.3;64
Mehlomeletten mit Zimt und Zucker, zubereitet;;Gerichte/Sonstige süsse Gerichte;pro 100g essbarer Anteil;744;5.3;2.2;1.6;0.7;24.5;6.5;0.8;7.2;62.3
Mehlomeletten, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;692;5.6;2.3;1.7;0.8;20.4;1.4;0.9;7.6;65.7
Melasse, Melassesirup;;Süssigkeiten/Konfitüren und süsse Brotaufstriche;pro 100g essbarer Anteil;1160;0;0;0;0;67.2;67.2;0;1.2;25.4
Meringue;;Süssigkeiten/Sonstige Süssigkeiten;pro 100g essbarer Anteil;1700;0.5;0;0;0;94;94;0;5;1
Miesmuschel, roh;;Fisch/Meeresfrüchte, Krusten- und Schalentiere;pro 100g essbarer Anteil;357;2.7;0.5;0.6;0.6;3.4;;0;11.7;82.1
Milch (Durchschnitt);;Milch und Milchprodukte/Milch;pro 100 ml;245;2.9;1.7;0.7;0.1;4.8;4.8;0;3.2;89
