Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kilojoule (kJ);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Kohlenhydrate, verfügbar (g);Zucker (g);Nahrungsfasern (g);Protein (g);Wasser (g)
Emmentaler, vollfett;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1690;32.6;20.3;7.9;1.5;0;0;0;28.4;35
Endivie, roh;Frisée Salat;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;68;0.2;0.1;0;0.1;1.2;1.2;1.2;1.8;94.8
Energy Drink, gezuckert;;Alkoholfreie Getränke/Süssgetränke;pro 100 ml;185;0;0;0;0;10.9;10.8;0;0;88.1
Engadiner Nusstorte;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;2010;27.7;10.2;6.2;8.7;49.9;30.9;2;7;14.1
Erbse (Konserve) ;;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;366;0.8;0.1;0.1;0.4;12.8;;5;4.8;76
Erbse (Konserve), aufgewärmt (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;374;0.8;0.1;0.1;0.4;13.1;0;5.1;4.9;76.2
Erbse, grün, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;419;0.8;0.1;0.1;0.4;13.2;6.1;6.6;6.6;72.7
Erbse, grün, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;380;0.7;0.1;0.1;0.4;12;5.5;6;6;74.5
Erbse, reif, getrocknet;Erbse, geschält, getrocknet;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;1400;1.7;0.3;0.3;0.7;51.9;2.8;11.6;21.3;11.2
Erbse, reif, getrocknet, gekocht (ohne Zusatz von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;579;0.7;0.1;0.1;0.3;21.2;1.1;5;9;64.2
Erbsen und Karotten (Konserve);Rüebli;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;289;0.6;0.1;0.1;0.2;10;5.6;4.5;3.7;81.2
Erbsen und Karotten (Konserve), aufgewärmt (ohne Zugabe von Salz);Rüebli;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;295;0.6;0.1;0.1;0.2;10.2;5.7;4.6;3.8;80.8
Erdbeere, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;162;0.5;;;;6;5.6;3.8;0.6;90.3
Erdnuss;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;2580;49.1;8.4;25.5;12.9;14.8;5.9;8.6;26.1;2.2
Erdnuss-Flips;;Salzige Snacks/Sonstige salzige Snacks;pro 100g essbarer Anteil;2120;24.2;4.4;11.7;6.9;56.5;;4.9;13.2;1.5
Erdnuss, geröstet, gesalzen;;Salzige Snacks/Gesalzene Nüsse, Samen, Kerne;pro 100g essbarer Anteil;2610;50;8.6;24.7;12.4;15;4.2;8;26.2;1.2
Erdnussbutter;;Süssigkeiten/Konfitüren und süsse Brotaufstriche;pro 100g essbarer Anteil;2630;51.8;12.8;19.9;16.9;12.5;6.4;7.6;26.1;1.1
Erdnussöl;;Fette und Öle/Öle;pro 100 ml;3330;90;15.6;53.2;17.5;0;0;0;0;0
Espresso crème, ungezuckert;;Alkoholfreie Getränke/Kaffee;pro 100g essbarer Anteil;116;2.5;1.5;0.6;0.1;0.8;0.7;0.1;0.5;96.1
Essig;;Verschiedenes/Salz, Gewürze und Aromen;pro 100 ml;93;0;0;0;0;0.7;0.3;0;0.1;93.4
Essig-Öl-Salatsauce, hausgemacht (mit Rapsöl);;Fette und Öle/Salatsaucen;pro 100 ml;1300;33.2;2.3;19.8;9.4;2.7;2;1;0.8;62.2
Falafel, frittiert (in HOLL Rapsöl frittiert);;Gerichte/Orientalische Gerichte;pro 100g essbarer Anteil;931;7.9;0.7;5;1.8;26.2;1.9;6.4;8.3;51.2
Fasnachtschüechli;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;2310;32.9;16.1;10.5;2.6;51.7;1.9;2.3;11.5;2.3
Federkohl, gedünstet (ohne Zugabe von Salz und Fett);Grünkohl;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;195;1;0.1;0;0.5;2.7;2.7;4.5;4.6;87.3
Federkohl, roh;Grünkohl;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;183;0.9;0.1;0;0.5;2.5;2.5;4.2;4.3;83.1
Feige, getrocknet;Dörrfeige;Früchte/Früchte getrocknet;pro 100g essbarer Anteil;1130;1.2;0.1;0.2;0.7;55.9;55.9;10;3.1;27.5
Feige, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;301;0.5;0.1;0.1;0.2;13.5;12.2;4.1;1.2;80.2
Felche, roh;;Fisch/Süsswasserfische;pro 100g essbarer Anteil;425;2.7;0.6;0.6;0.6;0;0;0;19.2;76.6
Fenchel, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;90;0.3;0;0;0;2.2;0.1;3.1;1;93.4
Fenchel, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;95;0.3;;;;2.3;0.1;3.3;1.1;92.2
Fermentierter Teig;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;841;0.9;0.1;0.1;0.4;38.3;0.3;3;7.8;50.6
Fisch (Durchschnitt), Filet, gedämpft (ohne Zusatz von Fett und Salz);;Fisch;pro 100g essbarer Anteil;612;7.5;1.5;2.4;1.9;0;0;0;19.6;72.8
Fisch (Durchschnitt), roh ;;"Fisch/Süsswasserfische;Fisch/Meeresfische";pro 100g essbarer Anteil;612;6.9;1.4;2.2;1.7;0;0;0;20.9;72.1
